microregiao,mesorregiao,codigo,equip_vida,ventilador_mecanico,date,confirmed,deaths,is_last,confirmed_per_100k_inhabitants,death_rate,place_type
Vale Real,Metropolitana,4322541,1,NA,NA,NA,NA,NA,NA,NA,NA
Rodeio Bonito,Noroeste,4315909,48,1,NA,NA,NA,NA,NA,NA,NA
Trindade Do Sul,Noroeste,4321956,19,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo Das Missões,Noroeste,4319307,41,4,NA,NA,NA,NA,NA,NA,NA
Picada Café,Metropolitana,4314423,7,1,NA,NA,NA,NA,NA,NA,NA
Tiradentes Do Sul,Noroeste,4321477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passa Sete,Centro Oriental,4314068,1,NA,NA,NA,NA,NA,NA,NA,NA
Araricá,Metropolitana,4300877,10,NA,NA,NA,NA,NA,NA,NA,NA
Tucunduva,Noroeste,4322103,17,2,NA,NA,NA,NA,NA,NA,NA
Sentinela Do Sul,Metropolitana,4320354,1,1,NA,NA,NA,NA,NA,NA,NA
Gaurama,Noroeste,4308706,12,NA,NA,NA,NA,NA,NA,NA,NA
Itaara,Centro Ocidental,4310538,1,NA,NA,NA,NA,NA,NA,NA,NA
Tavares,Metropolitana,4321352,7,NA,NA,NA,NA,NA,NA,NA,NA
Campina Das Missões,Noroeste,4303707,32,2,NA,NA,NA,NA,NA,NA,NA
Campinas Do Sul,Noroeste,4303806,17,2,NA,NA,NA,NA,NA,NA,NA
Machadinho,Noroeste,4311700,6,1,NA,NA,NA,NA,NA,NA,NA
Chuvisca,Metropolitana,4305447,4,NA,NA,NA,NA,NA,NA,NA,NA
São Martinho,Noroeste,4319109,20,2,NA,NA,NA,NA,NA,NA,NA
Sertão,Noroeste,4320503,16,NA,NA,NA,NA,NA,NA,NA,NA
Nova Esperança Do Sul,Centro Ocidental,4313037,3,NA,NA,NA,NA,NA,NA,NA,NA
Barracão,Noroeste,4301800,2,NA,NA,NA,NA,NA,NA,NA,NA
São Nicolau,Noroeste,4319208,5,1,NA,NA,NA,NA,NA,NA,NA
Liberato Salzano,Noroeste,4311601,12,1,NA,NA,NA,NA,NA,NA,NA
Rondinha,Noroeste,4316204,6,NA,NA,NA,NA,NA,NA,NA,NA
Selbach,Noroeste,4320305,11,NA,NA,NA,NA,NA,NA,NA,NA
Brochier,Metropolitana,4302659,3,NA,NA,NA,NA,NA,NA,NA,NA
Cacique Doble,Noroeste,4303202,9,1,NA,NA,NA,NA,NA,NA,NA
Muçum,Centro Oriental,4312609,14,1,NA,NA,NA,NA,NA,NA,NA
Erval Grande,Noroeste,4307203,2,NA,NA,NA,NA,NA,NA,NA,NA
Mata,Centro Ocidental,4312104,4,NA,NA,NA,NA,NA,NA,NA,NA
Aceguá,Sudoeste,4300034,17,1,NA,NA,NA,NA,NA,NA,NA
Caibaté,Noroeste,4303301,17,2,NA,NA,NA,NA,NA,NA,NA
Pinheirinho Do Vale,Noroeste,4314498,2,NA,NA,NA,NA,NA,NA,NA,NA
Viadutos,Noroeste,4322905,9,NA,NA,NA,NA,NA,NA,NA,NA
Miraguaí,Noroeste,4312302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harmonia,Metropolitana,4309555,7,NA,2020-04-12,3,0,TRUE,61.65228,NA,city
Caiçara,Noroeste,4303400,12,NA,NA,NA,NA,NA,NA,NA,NA
Humaitá,Noroeste,4309704,14,1,NA,NA,NA,NA,NA,NA,NA
Ciríaco,Noroeste,4305504,6,NA,NA,NA,NA,NA,NA,NA,NA
Tupandi,Metropolitana,4322251,4,NA,2020-04-12,1,0,TRUE,20.59732,NA,city
Porto Lucena,Noroeste,4315008,22,1,NA,NA,NA,NA,NA,NA,NA
Vicente Dutra,Noroeste,4323101,6,NA,NA,NA,NA,NA,NA,NA,NA
David Canabarro,Noroeste,4306304,13,1,NA,NA,NA,NA,NA,NA,NA
São José Do Hortêncio,Metropolitana,4318481,9,NA,NA,NA,NA,NA,NA,NA,NA
Ibiaçá,Noroeste,4309803,4,1,NA,NA,NA,NA,NA,NA,NA
Nova Araçá,Nordeste,4312807,4,NA,NA,NA,NA,NA,NA,NA,NA
Cerro Branco,Centro Oriental,4305132,4,NA,NA,NA,NA,NA,NA,NA,NA
São João Da Urtiga,Noroeste,4318424,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabaí,Centro Oriental,4320859,NA,NA,2020-04-12,4,0,TRUE,84.76372,NA,city
Doutor Maurício Cardoso,Noroeste,4306734,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riozinho,Metropolitana,4315750,8,NA,NA,NA,NA,NA,NA,NA,NA
Maçambará,Sudoeste,4311718,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campo Novo,Noroeste,4304002,7,NA,NA,NA,NA,NA,NA,NA,NA
Capivari Do Sul,Metropolitana,4304671,3,NA,NA,NA,NA,NA,NA,NA,NA
Tunas,Noroeste,4322152,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcelino Ramos,Noroeste,4311908,7,2,NA,NA,NA,NA,NA,NA,NA
Mato Leitão,Centro Oriental,4312153,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fazenda Vilanova,Centro Oriental,4308078,4,NA,NA,NA,NA,NA,NA,NA,NA
Maximiliano De Almeida,Noroeste,4312203,12,1,NA,NA,NA,NA,NA,NA,NA
Ibarama,Centro Oriental,4309753,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinhal Grande,Centro Ocidental,4314472,6,NA,NA,NA,NA,NA,NA,NA,NA
Fortaleza Dos Valos,Noroeste,4308458,11,NA,NA,NA,NA,NA,NA,NA,NA
Vila Maria,Noroeste,4323408,6,NA,2020-04-12,1,0,TRUE,22.94631,NA,city
Gramado Xavier,Centro Oriental,4309159,1,NA,NA,NA,NA,NA,NA,NA,NA
Três Palmeiras,Noroeste,4321857,12,NA,NA,NA,NA,NA,NA,NA,NA
Vila Nova Do Sul,Centro Ocidental,4323457,2,NA,NA,NA,NA,NA,NA,NA,NA
Barra Do Quaraí,Sudoeste,4301875,5,1,NA,NA,NA,NA,NA,NA,NA
Novo Cabrais,Centro Oriental,4313391,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novo Barreiro,Noroeste,4313490,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilópolis,Nordeste,4310306,15,NA,NA,NA,NA,NA,NA,NA,NA
Ibirapuitã,Noroeste,4309951,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marques De Souza,Centro Oriental,4312054,26,2,NA,NA,NA,NA,NA,NA,NA
Putinga,Nordeste,4315206,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pontão,Noroeste,4314779,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pejuçara,Noroeste,4314308,6,2,NA,NA,NA,NA,NA,NA,NA
Mariana Pimentel,Metropolitana,4311981,7,NA,NA,NA,NA,NA,NA,NA,NA
Paim Filho,Noroeste,4313607,6,1,NA,NA,NA,NA,NA,NA,NA
Cotiporã,Nordeste,4305959,5,NA,NA,NA,NA,NA,NA,NA,NA
Jaboticaba,Noroeste,4310850,5,NA,NA,NA,NA,NA,NA,NA,NA
Pareci Novo,Metropolitana,4314035,NA,NA,2020-04-12,1,0,TRUE,26.06203,NA,city
Chiapetta,Noroeste,4305405,8,NA,NA,NA,NA,NA,NA,NA,NA
Quinze De Novembro,Noroeste,4315354,10,1,NA,NA,NA,NA,NA,NA,NA
Jaquirana,Nordeste,4311122,12,1,NA,NA,NA,NA,NA,NA,NA
São Pedro Da Serra,Metropolitana,4319356,2,NA,NA,NA,NA,NA,NA,NA,NA
Água Santa,Noroeste,4300059,NA,NA,NA,NA,NA,NA,NA,NA,NA
Severiano De Almeida,Noroeste,4320602,13,1,NA,NA,NA,NA,NA,NA,NA
Nova Roma Do Sul,Nordeste,4313359,1,NA,NA,NA,NA,NA,NA,NA,NA
Estrela Velha,Centro Oriental,4307815,6,NA,NA,NA,NA,NA,NA,NA,NA
Capão Do Cipó,Centro Ocidental,4304655,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arambaré,Metropolitana,4300851,1,NA,NA,NA,NA,NA,NA,NA,NA
Nova Alvorada,Nordeste,4312757,15,1,NA,NA,NA,NA,NA,NA,NA
Jacutinga,Noroeste,4310900,10,1,NA,NA,NA,NA,NA,NA,NA
Áurea,Noroeste,4301552,5,NA,NA,NA,NA,NA,NA,NA,NA
Alegria,Noroeste,4300455,12,NA,NA,NA,NA,NA,NA,NA,NA
Jari,Centro Ocidental,4311130,3,NA,NA,NA,NA,NA,NA,NA,NA
São José Dos Ausentes,Nordeste,4318622,14,NA,NA,NA,NA,NA,NA,NA,NA
Vale Verde,Metropolitana,4322525,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itacurubi,Centro Ocidental,4310553,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turuçu,Sudeste,4322327,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itatiba Do Sul,Noroeste,4310702,12,1,NA,NA,NA,NA,NA,NA,NA
Braga,Noroeste,4302600,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dois Lajeados,Nordeste,4306452,23,NA,NA,NA,NA,NA,NA,NA,NA
Novo Machado,Noroeste,4313425,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campestre Da Serra,Nordeste,4303673,9,NA,NA,NA,NA,NA,NA,NA,NA
Vila Flores,Nordeste,4323309,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campos Borges,Noroeste,4304101,2,1,NA,NA,NA,NA,NA,NA,NA
São Valentim,Noroeste,4319703,4,NA,NA,NA,NA,NA,NA,NA,NA
Nova Bréscia,Centro Oriental,4313003,30,NA,NA,NA,NA,NA,NA,NA,NA
Charrua,Noroeste,4305371,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esmeralda,Nordeste,4307401,8,NA,NA,NA,NA,NA,NA,NA,NA
Barra Do Guarita,Noroeste,4301859,2,NA,NA,NA,NA,NA,NA,NA,NA
São Martinho Da Serra,Centro Ocidental,4319125,1,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,Noroeste,4305603,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monte Alegre Dos Campos,Nordeste,4312377,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caseiros,Noroeste,4304952,2,NA,NA,NA,NA,NA,NA,NA,NA
Vitória Das Missões,Noroeste,4323754,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernestina,Noroeste,4307054,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muitos Capões,Nordeste,4312617,8,NA,NA,NA,NA,NA,NA,NA,NA
Imigrante,Centro Oriental,4310363,9,NA,NA,NA,NA,NA,NA,NA,NA
Dona Francisca,Centro Ocidental,4306700,4,NA,NA,NA,NA,NA,NA,NA,NA
Taquaruçu Do Sul,Noroeste,4321329,3,NA,NA,NA,NA,NA,NA,NA,NA
São Domingos Do Sul,Noroeste,4318051,10,NA,2020-04-12,3,0,TRUE,97.59271,NA,city
Mormaço,Noroeste,4312427,2,NA,NA,NA,NA,NA,NA,NA,NA
Dilermando De Aguiar,Centro Ocidental,4306379,2,NA,NA,NA,NA,NA,NA,NA,NA
Alto Feliz,Metropolitana,4300570,3,NA,NA,NA,NA,NA,NA,NA,NA
Herveiras,Centro Oriental,4309571,1,NA,NA,NA,NA,NA,NA,NA,NA
Tio Hugo,Noroeste,4321469,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westfália,Centro Oriental,4323770,4,NA,NA,NA,NA,NA,NA,NA,NA
Erebango,Noroeste,4306973,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mampituba,Metropolitana,4311734,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morrinhos Do Sul,Metropolitana,4312443,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esperança Do Sul,Noroeste,4307450,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinto Bandeira,Nordeste,4314548,1,NA,NA,NA,NA,NA,NA,NA,NA
Garruchos,Sudoeste,4308656,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Pedro Do Butiá,Noroeste,4319372,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sede Nova,Noroeste,4320230,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arroio Do Padre,Sudeste,4301073,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centenário,Noroeste,4305116,2,NA,NA,NA,NA,NA,NA,NA,NA
Victor Graeff,Noroeste,4323200,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagoa Bonita Do Sul,Centro Oriental,4311239,NA,NA,NA,NA,NA,NA,NA,NA,NA
Presidente Lucena,Metropolitana,4315149,7,1,NA,NA,NA,NA,NA,NA,NA
Derrubadas,Noroeste,4306320,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cristal Do Sul,Noroeste,4306072,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Dos Índios,Noroeste,4315552,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vista Gaúcha,Noroeste,4323705,6,NA,NA,NA,NA,NA,NA,NA,NA
Entre Rios Do Sul,Noroeste,4306957,4,NA,NA,NA,NA,NA,NA,NA,NA
Toropi,Centro Ocidental,4321493,2,NA,NA,NA,NA,NA,NA,NA,NA
Boa Vista Do Sul,Nordeste,4302253,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senador Salgado Filho,Noroeste,4320321,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quevedos,Centro Ocidental,4315321,2,NA,NA,NA,NA,NA,NA,NA,NA
Coxilha,Noroeste,4305975,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vista Alegre,Noroeste,4323507,2,1,NA,NA,NA,NA,NA,NA,NA
São Jorge,Nordeste,4318440,1,NA,2020-04-12,1,0,TRUE,35.41076,NA,city
Capitão,Centro Oriental,4304697,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salvador Das Missões,Noroeste,4316477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Três Forquilhas,Metropolitana,4321832,3,NA,NA,NA,NA,NA,NA,NA,NA
Camargo,Noroeste,4303558,2,NA,NA,NA,NA,NA,NA,NA,NA
São Valério Do Sul,Noroeste,4319737,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagundes Varela,Nordeste,4307864,6,NA,NA,NA,NA,NA,NA,NA,NA
Nova Candelária,Noroeste,4313011,1,NA,NA,NA,NA,NA,NA,NA,NA
Três Arroios,Noroeste,4321634,10,NA,NA,NA,NA,NA,NA,NA,NA
Maratá,Metropolitana,4311791,17,1,NA,NA,NA,NA,NA,NA,NA
Jacuizinho,Noroeste,4310876,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saldanha Marinho,Noroeste,4316436,9,NA,NA,NA,NA,NA,NA,NA,NA
Sagrada Família,Noroeste,4316428,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boa Vista Do Incra,Noroeste,4302238,1,NA,NA,NA,NA,NA,NA,NA,NA
Pinhal,Noroeste,4314456,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monte Belo Do Sul,Nordeste,4312385,1,NA,NA,NA,NA,NA,NA,NA,NA
São José Das Missões,Noroeste,4318457,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lajeado Do Bugre,Noroeste,4311429,NA,NA,NA,NA,NA,NA,NA,NA,NA
São João Do Polêsine,Centro Ocidental,4318432,2,NA,NA,NA,NA,NA,NA,NA,NA
Nova Pádua,Nordeste,4313086,1,NA,NA,NA,NA,NA,NA,NA,NA
Santa Margarida Do Sul,Sudoeste,4316972,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dom Pedro De Alcântara,Metropolitana,4306551,2,NA,NA,NA,NA,NA,NA,NA,NA
Mato Castelhano,Noroeste,4312138,4,NA,NA,NA,NA,NA,NA,NA,NA
Barra Funda,Noroeste,4301958,1,NA,NA,NA,NA,NA,NA,NA,NA
Coronel Barros,Noroeste,4305871,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dezesseis De Novembro,Noroeste,4306353,2,NA,NA,NA,NA,NA,NA,NA,NA
Boa Vista Do Cadeado,Noroeste,4302220,8,NA,NA,NA,NA,NA,NA,NA,NA
Eugênio De Castro,Noroeste,4307831,1,NA,NA,NA,NA,NA,NA,NA,NA
Colinas,Centro Oriental,4305587,6,NA,NA,NA,NA,NA,NA,NA,NA
Itati,Metropolitana,4310652,9,NA,NA,NA,NA,NA,NA,NA,NA
Forquetinha,Centro Oriental,4308433,3,NA,NA,NA,NA,NA,NA,NA,NA
Porto Mauá,Noroeste,4315057,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silveira Martins,Centro Ocidental,4320651,9,1,NA,NA,NA,NA,NA,NA,NA
São José Do Sul,Metropolitana,4318614,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pirapó,Noroeste,4314555,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unistalda,Centro Ocidental,4322376,3,NA,NA,NA,NA,NA,NA,NA,NA
Rolador,Noroeste,4315958,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faxinalzinho,Noroeste,4308052,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santo Expedito Do Sul,Noroeste,4317954,NA,NA,NA,NA,NA,NA,NA,NA,NA
Travesseiro,Centro Oriental,4321626,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerro Grande,Noroeste,4305157,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coqueiros Do Sul,Noroeste,4305850,2,NA,NA,NA,NA,NA,NA,NA,NA
Paulo Bento,Noroeste,4314134,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nova Ramada,Noroeste,4313334,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Valentim Do Sul,Nordeste,4319711,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inhacorá,Noroeste,4310413,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novo Tiradentes,Noroeste,4313441,1,NA,NA,NA,NA,NA,NA,NA,NA
São Vendelino,Metropolitana,4319752,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bozano,Noroeste,4302584,8,NA,NA,NA,NA,NA,NA,NA,NA
Santo Antônio Do Palma,Noroeste,4317558,1,1,NA,NA,NA,NA,NA,NA,NA
Itapuca,Nordeste,4310579,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gramado Dos Loureiros,Noroeste,4309126,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boa Vista Das Missões,Noroeste,4302154,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanini,Noroeste,4322558,1,NA,NA,NA,NA,NA,NA,NA,NA
Vila Lângaro,Noroeste,4323358,NA,NA,NA,NA,NA,NA,NA,NA,NA
Relvado,Centro Oriental,4315453,4,NA,NA,NA,NA,NA,NA,NA,NA
Poço Das Antas,Metropolitana,4314753,10,NA,NA,NA,NA,NA,NA,NA,NA
São José Do Inhacorá,Noroeste,4318499,14,1,NA,NA,NA,NA,NA,NA,NA
Mariano Moro,Noroeste,4312005,1,NA,NA,NA,NA,NA,NA,NA,NA
Ubiretama,Noroeste,4322343,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dois Irmãos Das Missões,Noroeste,4306429,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benjamin Constant Do Sul,Noroeste,4302055,1,NA,NA,NA,NA,NA,NA,NA,NA
Santo Antônio Do Planalto,Noroeste,4317756,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pedras Altas,Sudeste,4314175,NA,NA,NA,NA,NA,NA,NA,NA,NA
São José Do Herval,Noroeste,4318465,2,NA,NA,NA,NA,NA,NA,NA,NA
São Pedro Das Missões,Noroeste,4319364,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sério,Centro Oriental,4320453,10,NA,NA,NA,NA,NA,NA,NA,NA
Doutor Ricardo,Centro Oriental,4306759,11,NA,NA,NA,NA,NA,NA,NA,NA
Sete De Setembro,Noroeste,4320578,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bom Progresso,Noroeste,4302378,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almirante Tamandaré Do Sul,Noroeste,4300471,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinhal Da Serra,Nordeste,4314464,NA,NA,NA,NA,NA,NA,NA,NA,NA
Protásio Alves,Nordeste,4315172,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivorá,Centro Ocidental,4310751,8,1,NA,NA,NA,NA,NA,NA,NA
Ipiranga Do Sul,Noroeste,4310462,2,NA,NA,NA,NA,NA,NA,NA,NA
Muliterno,Noroeste,4312625,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cruzaltense,Noroeste,4306130,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quatro Irmãos,Noroeste,4315313,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vespasiano Corrêa,Centro Oriental,4322855,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nova Boa Vista,Noroeste,4312955,NA,NA,NA,NA,NA,NA,NA,NA,NA
Floriano Peixoto,Noroeste,4308250,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Tereza,Nordeste,4317251,1,NA,NA,NA,NA,NA,NA,NA,NA
Canudos Do Vale,Centro Oriental,4304614,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novo Xingu,Noroeste,4313466,1,NA,NA,NA,NA,NA,NA,NA,NA
Barra Do Rio Azul,Noroeste,4301925,1,NA,NA,NA,NA,NA,NA,NA,NA
Linha Nova,Metropolitana,4311643,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicolau Vergueiro,Noroeste,4312674,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capão Bonito Do Sul,Nordeste,4304622,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pouso Novo,Centro Oriental,4315131,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mato Queimado,Noroeste,4312179,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alto Alegre,Noroeste,4300554,1,NA,NA,NA,NA,NA,NA,NA,NA
Santa Cecília Do Sul,Noroeste,4316733,1,NA,NA,NA,NA,NA,NA,NA,NA
Gentil,Noroeste,4308854,4,NA,NA,NA,NA,NA,NA,NA,NA
Coronel Pilar,Nordeste,4305934,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagoa Dos Três Cantos,Noroeste,4311270,2,NA,NA,NA,NA,NA,NA,NA,NA
Ponte Preta,Noroeste,4314787,2,NA,NA,NA,NA,NA,NA,NA,NA
Vista Alegre Do Prata,Nordeste,4323606,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guabiju,Nordeste,4309258,6,NA,NA,NA,NA,NA,NA,NA,NA
Coqueiro Baixo,Centro Oriental,4305835,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tupanci Do Sul,Noroeste,4322186,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montauri,Nordeste,4312351,2,NA,NA,NA,NA,NA,NA,NA,NA
Porto Vera Cruz,Noroeste,4315073,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlos Gomes,Noroeste,4304853,2,NA,NA,NA,NA,NA,NA,NA,NA
André Da Rocha,Nordeste,4300661,NA,NA,NA,NA,NA,NA,NA,NA,NA
União Da Serra,Nordeste,4322350,NA,NA,NA,NA,NA,NA,NA,NA,NA
Engenho Velho,Noroeste,4306924,3,NA,NA,NA,NA,NA,NA,NA,NA
